Question,Solution,Topic,Source,category
"True or False: If item A is an ancestor of item B in a heap (it means if you start from B and walk up to the root, then you will get to A on your path) then it must be the case that the Insert operation for item A occurred before the Insert operation for item B.",Solution: False,Computer Science: Java,DSC30 midterm 2,True False
True or False: Empirical testing allows us to analyze the runtime of code without looking at the actual implementation.,Solution: True,Computer Science: Java,DSC30 midterm 2,True False
True or False: The largest value in a binary search tree is always stored at the root of the tree.,Solution: False,Computer Science: Java,DSC30 midterm 2,True False
"True or False: In adapter pattern design, a class A can borrow an existing abstract data type SomeObject by inheriting SomeObject.",Solution: False,Computer Science: Java,DSC30 midterm 2,True False
True or False: Unchecked exceptions never need to be handled.,Solution: True,Computer Science: Java,DSC30 midterm 1,True False
True or False: The Math.sqrt() method in Java is a static method.,Solution: True,Computer Science: Java,DSC30 midterm 1,True False
True or False: Child class's method signature must be identical to its parent class to be overridden.,Solution: True,Computer Science: Java,DSC30 midterm 1,True False
True or False: A class can extend multiple classes but implement only a single interface.,Solution: False,Computer Science: Java,DSC30 midterm 1,True False
"True or False: Protected variables of a class can be directly-accessed through its child class, without a getter/setter method. ",Solution: True,Computer Science: Java,DSC30 midterm 1,True False
True or False: The main() method of a class can access all public instance variables of the same class.,Solution: False,Computer Science: Java,DSC30 midterm 1,True False
"Suppose we are given a circular, array-based queue which is capable of holding 100 objects. Objects are inserted into this queue at a rate of 10 per minute while, at the same time, objects are processed and removed from the queue at a rate of 5 per minute. Suppose the queue is initially empty, which of the following is true after 120 objects have been added to the queue?

A. You cannot add 120 elements to an array holding 100 entries.
B. There will be 60 elements in the queue, 30 of them at the front of the array where the queue started, and 30 at the other end.
C. There will be 60 elements in the queue, 20 of them at the front of the array where the queue started, and 40 at the other end.
D. There will be 60 elements in the queue, 40 of them at the front of the array where the queue started, and 20 at the other end.
E. None of the above.",Solution: C,Computer Science: Java,DSC30 midterm 1,Multiple Choice
"A standard deck of cards contains 52 cards. There are 13 cards in each of 4 suits 

You are playing a four-player card game using two regular decks of cards. Each player will be dealt 26 cards as follows: the first deck of cards will be randomly shuffled and dealt out, 13 cards to each of the four players. Then the second deck of cards will be randomly shuffled and dealt out, 13 cards to each of the four players.

Let Event A='you are dealt two Kings of Hearts' and Event B='some other player has a pair of Kings of Hearts'. Are these two events independent of each other?",Solution: not independent,Probability,DSC40A HW7,calculation
"A standard deck of cards contains 52 cards. There are 13 cards in each of 4 suits 

You are playing a four-player card game using two regular decks of cards. Each player will be dealt 26 cards as follows: the first deck of cards will be randomly shuffled and dealt out, 13 cards to each of the four players. Then the second deck of cards will be randomly shuffled and dealt out, 13 cards to each of the four players.

Let Event A='you are dealt two Kings of Hearts' and Event C='some other player has a pair of Aces of Hearts'. Are these two events independent of each other?",Solution: not independent,Probability,DSC40A HW7,calculation
"A standard deck of cards contains 52 cards. There are 13 cards in each of 4 suits 

You are playing a four-player card game using two regular decks of cards. Each player will be dealt 26 cards as follows: the first deck of cards will be randomly shuffled and dealt out, 13 cards to each of the four players. Then the second deck of cards will be randomly shuffled and dealt out, 13 cards to each of the four players.

Now suppose that you know you do not have any Aces of Hearts. Let Event A='you are dealt two Kings of Hearts' and Event C='some other player has a pair of Aces of Hearts'. Now that you know you don't have any Aces of Hearts, are these two events independent of each other?",Solution: independent,Probability,DSC40A HW7,calculation
Suppose that your baseball team has 12 players but you only have 9 matching team hats. How many ways are there for you to select who gets a hat and who doesn't?,"Solution: C(12,9)=220",Probability,DSC40A HW6,reasoning
"Suppose that your baseball team has 12 players and you have 15 jerseys, numbered 1 through 15. You will give out one jersey to each player, and three will be leftover. How many ways are there for you to assign jerseys to players?","Solution: P(15,12)=2.179*10^11",Probability,DSC40A HW6,reasoning
"Your baseball team has 12 players and you have 15 jerseys, numbered 1 through 15 . You will give out one jersey to each player, and three will be leftover. How many ways are there for you to assign jerseys to players if you must give out jersey number 1?","Solution: 12*P(14,11) or C(14, 11)*12! 1.744*10^11",Probability,DSC40A HW6,reasoning
"Suppose that at the batting range, where a machine pitches the ball, each time you swing the bat, your probability of hitting the ball is 3/4. If you swing 9 times, what is the probability that you hit the ball exactly 7 times?","Solution: C(9,7)*(3/4)^7*(1/4)^2=0.3",Probability,DSC40A HW6,reasoning
"Suppose that when a pitcher is throwing the ball, your probability of hitting the ball depends on the kind of pitch. Your probability of hitting the ball is
- 1/2 for a fastball,
- 1/3 for a breaking ball, and
- 1/4 for a changeup
Suppose that at practice, a pitcher throws you three fastballs, three breaking balls, and three changeups. What is the probability that you miss one breaking ball and one changeup, but hit all 7 other balls?",Solution: 9*(1/2)^3*(1/3)^2*(2/3)*(1/4)^2*(3/4)=0.0039,Probability,DSC40A HW6,reasoning
"Suppose that at practice, a pitcher throws you three fastballs, three breaking balls, and three changeups, and your probability of hitting each is as below:
- 1/2 for a fastball,
- 1/3 for a breaking ball, and
- 1/4 for a changeup
What is the probability that you hit the ball exactly 7 times?
Hint: Use cases.",Solution: 0.010,Probability,DSC40A HW6,reasoning
"To break a tie among a group of n>=3 people, you come up with the following tiebreaker:
- Everyone flips a coin.
- If one person's coin is different from all the others, that person wins, and the tie is broken!
- Otherwise, repeat the process.

a) What is the probability that the tie is broken after the first coin toss?",Solution: 2n/2^n=n/2^(n-1),Probability,DSC40A HW6,reasoning
"To break a tie among a group of n>=3 people, you come up with the following tiebreaker:
- Everyone flips a coin.
- If one person's coin is different from all the others, that person wins, and the tie is broken!
- Otherwise, repeat the process.

Fix an integer k>=1. Find the probability that the tie is broken after exactly $k$ coin tosses?",Solution: (1-A)^(k-1)*A where A=n/2^(n-1),Probability,DSC40A HW6,reasoning
"A toy called 5 Surprise Mini Brands is a plastic capsule containing five miniature replicas of branded household products, like Skippy Peanut Butter, Dove Bodywash, Kikkoman Soy Sauce, or Breyers Ice Cream. Each capsule is a surprise; you don't know which minis it will contain until you open it! We'll assume for this problem that there are 70 possible products, each of which is manufactured in equal quantities, so you're no more likely to get any one product than any other.
a) Suppose that each capsule contains five different randomly selected products. If you buy two capsules, what is the probability that you end up with exactly five distinct products?","Solution: 1/C(70,5) or P(5,5)/P(70,5) or 8.262*10^-8",Probability,DSC40A HW6,reasoning
"A toy called 5 Surprise Mini Brands is a plastic capsule containing five miniature replicas of branded household products, like Skippy Peanut Butter, Dove Bodywash, Kikkoman Soy Sauce, or Breyers Ice Cream. Each capsule is a surprise; you don't know which minis it will contain until you open it! We'll assume for this problem that there are 70 possible products, each of which is manufactured in equal quantities, so you're no more likely to get any one product than any other.

Suppose that each capsule contains five different randomly selected products. If you buy two capsules, what is the probability that you end up with exactly ten distinct products?","Solution: C(65,5)/C(70,5)=P(65,5)/P(70,5)=0.682",Probability,DSC40A HW6,reasoning
"A toy called 5 Surprise Mini Brands is a plastic capsule containing five miniature replicas of branded household products, like Skippy Peanut Butter, Dove Bodywash, Kikkoman Soy Sauce, or Breyers Ice Cream. Each capsule is a surprise; you don't know which minis it will contain until you open it! We'll assume for this problem that there are 70 possible products, each of which is manufactured in equal quantities, so you're no more likely to get any one product than any other.

Suppose that each capsule contains five randomly selected products, any of which could be the same. That is, each of the five products is equally likely to be any of the 70 possible products. If you buy two capsules, what is the probability that you end up with exactly ten distinct products?","Solution: P(70,10)/70^10=0.510",Probability,DSC40A HW6,reasoning
"A toy called 5 Surprise Mini Brands is a plastic capsule containing five miniature replicas of branded household products, like Skippy Peanut Butter, Dove Bodywash, Kikkoman Soy Sauce, or Breyers Ice Cream. Each capsule is a surprise; you don't know which minis it will contain until you open it! We'll assume for this problem that there are 70 possible products, each of which is manufactured in equal quantities, so you're no more likely to get any one product than any other.

Suppose that each capsule contains five randomly selected products, any of which could be the same. That is, each of the five products is equally likely to be any of the 70 possible products. If you buy two capsules, what is the probability that you end up with exactly nine distinct products?","Solution: C(10,2)*P(69,8)/70^9=C(10,2)*P(70,9)/70^10=0.376",Probability,DSC40A HW6,reasoning
"Let S be a sample space, and let A, E_1, E_2, E_3 be events in that sample space. Suppose that E_1 intersects E_2, E_1 intersects E_3, and E_2 intersects E_3 are all empty. Given the following probabilities, find P(E_2|A) :
P(E_1)=1/6 
P(A|E_1)=1/9
P(E_2)=1/3 
P(A|E_2)=1/7
P(E_3)=1/2
P(A|E_3)=1/5",Solution: 45/157=0.2866,Probability,DSC40A HW6,reasoning
"In this problem, we will look at a made-up game called Stringle. Each day, a random six-letter string is chosen, and players have to try to guess what it is.

In Stringle, any six-letter string of uppercase letters is allowed, as long as it does not have any repeated letters. The string does not have to make sense as an English word. For example, the string of the day might be ZVODUP. Any valid string is equally likely to be chosen each day.
a) Consider A, E, I, O, U, and Y to be vowels. What is the probability that today's Stringle string and yesterday's Stringle string both start with a vowel?",Solution: (6/26)^2=9/169=0.0533,Probability,DSC40A HW5,reasoning
"In this problem, we will look at a made-up game called Stringle. Each day, a random six-letter string is chosen, and players have to try to guess what it is.

In Stringle, any six-letter string of uppercase letters is allowed, as long as it does not have any repeated letters. The string does not have to make sense as an English word. For example, the string of the day might be ZVODUP. Any valid string is equally likely to be chosen each day.

What is the probability that today's Stringle string or yesterday's Stringle string starts with a vowel?",Solution: (6/26)+(6/26)-(6/26)^2=69/169=0.4083,Probability,DSC40A HW5,reasoning
"In this problem, we will look at a made-up game called Stringle. Each day, a random six-letter string is chosen, and players have to try to guess what it is.

In Stringle, any six-letter string of uppercase letters is allowed, as long as it does not have any repeated letters. The string does not have to make sense as an English word. For example, the string of the day might be ZVODUP. Any valid string is equally likely to be chosen each day.

What is the probability that today's Stringle string includes no vowels?",Solution: 0.168,Probability,DSC40A HW5,reasoning
"In this problem, we will look at a made-up game called Stringle. Each day, a random six-letter string is chosen, and players have to try to guess what it is.

In Stringle, any six-letter string of uppercase letters is allowed, as long as it does not have any repeated letters. The string does not have to make sense as an English word. For example, the string of the day might be ZVODUP. Any valid string is equally likely to be chosen each day.

What is the probability that today's Stringle string includes all vowels?",Solution: 1/230230,Probability,DSC40A HW5,reasoning
"In this problem, we will look at a made-up game called Stringle. Each day, a random six-letter string is chosen, and players have to try to guess what it is.

In Stringle, any six-letter string of uppercase letters is allowed, as long as it does not have any repeated letters. The string does not have to make sense as an English word. For example, the string of the day might be ZVODUP. Any valid string is equally likely to be chosen each day.

What is the probability that today's Stringle string includes the letter J?",Solution: 6/26=3/13=0.23077,Probability,DSC40A HW5,reasoning
"In this problem, we will look at a made-up game called Stringle. Each day, a random six-letter string is chosen, and players have to try to guess what it is.

In Stringle, any six-letter string of uppercase letters is allowed, as long as it does not have any repeated letters. The string does not have to make sense as an English word. For example, the string of the day might be ZVODUP. Any valid string is equally likely to be chosen each day.

What is the probability that today's Stringle string is exactly the same as yesterday's Stringle string?","Solution: 1/P(26,6)=1/165765600",Probability,DSC40A HW5,reasoning
True or False: Maximum Likelihood Estimation (MLE) assumes all values of any parameter to be equally likely.,Solution: True,ML/DL,CSE251B midterm1,True False
True or False: The dimension of any principal component is the same as the dimension of the original data.,Solution: True,ML/DL,CSE251B midterm1,True False
"True or False: Although Siamese networks do not have explicit targets for outputs, they can still cluster outputs into classes.",Solution: True,ML/DL,CSE251B midterm1,True False
True or False: Residual connections are included in convolutional neural networks to prevent exploding gradients.,Solution: False,ML/DL,CSE251B midterm1,True False
True or False: Momentum helps convergence speed by increasing it along inconsistent gradients and decreasing it along consistent ones.,Solution: False,ML/DL,CSE251B midterm1,True False
"True or False: If we initialize all of the weights and biases to zero in a one-hidden layer neural network with logistic units, the hidden units will all compute the same feature.",Solution: True,ML/DL,CSE251B midterm1,True False
True or False: Scale invariance is built in to a standard convolutional neural network.,Solution: False,ML/DL,CSE251B midterm1,True False
True or False: Adversarial examples often generalize to networks they weren't developed on.,Solution: True,ML/DL,CSE251B midterm1,True False
"True or False: If you add a constant to every weighted sum of the inputs to a softmax layer, the results will be exactly the same.",Solution: True,ML/DL,CSE251B midterm1,True False
"Which statements are correct about regularization?
(i) L1 Regularization penalizes all weights the same.
(ii) L1 Regularization penalizes small weights more.
(iii) L2 Regularization penalizes all weights the same.
(v) L2 Regularization penalizes the large weights more.","Solution: (i),(iv)",ML/DL,CSE251B midterm1,Multiple Choice
"If you observe the training error goes up at the beginning of training a neural network. which of the following is a possible problem?
(i) The learning rate is too low
(ii) The learning rate is too high
(iii) The regularization parameter $\lambda$ is too high
(iv) The weight change update rule has the incorrect sign, i.e., weights are getting updated in the incorrect direction.","Solution: (ii), (iii), (iv)",ML/DL,CSE251B midterm1,Multiple Choice
"Which of the following statements about training and generalization are true?
(i) We can regularize a model (i.e. obtain better generalization) by adding more real data to the training set.
(ii) For the same training procedure, if Model A gets an accuracy of 80% and a loss of 1.2 , and Model B gets an accuracy of 85% and a loss of 1.5 , then there is a bug in the training procedure.
(iii) Learning rate used for training one model on CIFAR-100 will also work on CIFAR-10 and we don't need to tune it.
iv) To obtain the best results, it's a good idea to lower the learning rate when the loss flattens out.","Solution: (i), (iv)",ML/DL,CSE251B midterm1,Multiple Choice
"Which of the following are true about Maximum Likelihood as applied to determining objective functions for feed-forward neural nets?
(i) Is not Bayesian, as it doesn't take into account the priors.
(ii) In order to determine the correct objective function using Maximum Likelihood. It's important to characterize the probability distribution of the data, and in particular, the pdf of the input data.
(iii) For logistic regression. one should assume that the targets are Gaussian distributed, as that is the highest entropy distribution.
(iv) The goal of Maximum Likelihood is to maximize the probability of the targets, given the inputs.",Solution: (i),ML/DL,CSE251B midterm1,Multiple Choice
"Which of the following can be used to perform dimensionality reduction on data?
(i) Principal Components Analysis
(ii) Siamese Networks
(iii) Autoencoder networks
(iv) Softmax regression networks","Solution: (i),(ii),(iii)",ML/DL,CSE251B midterm1,Multiple Choice
True or False: Reinforcement learning agents learn by trial and error.,Solution: True,ML/DL,CSE251B midterm2,True False
True or False: Transformers worked well because they used a feed forward network to map time into state.,Solution: False,ML/DL,CSE251B midterm2,True False
"True or False: Modern autoregressive transformers (e.g., GPT3) having nothing in common with outdated approaches like Elman nets.",Solution: False,ML/DL,CSE251B midterm2,True False
"True or False: In general, training a transformer is more efficient than training a RNN.",Solution: True,ML/DL,CSE251B midterm2,True False
"True or False: Inability to generate diverse samples (i.e., mode collapse) is a common problem with GANs.",Solution: True,ML/DL,CSE251B midterm2,True False
True or False: The receptive field of two $3 \times 3$ convolutional kernels stacked together with stride=1 is the same as that of one $5 \times 5$ convolutional kernel with stride=1.,Solution: True,ML/DL,CSE251B midterm2,True False
True or False: Tanh units are better than the sigmoid function in the forget gate of LSTMs.,Solution: False,ML/DL,CSE251B midterm2,True False
True or False: Q-Learning is a model-free reinforcement learning method.,Solution: True,ML/DL,CSE251B midterm2,True False
True or False: Alpha-Go was able to beat Lee Sedol (a top-rated Go player) by making use of only Deep Reinforcement Learning.,Solution: False,ML/DL,CSE251B midterm2,True False
"Which of the following can be used to increase the receptive field size in CNNs?
(i) Stacking convolutional layers
(ii) Max-pooling before moving to the next convolutional layer
(iii) Decreasing the stride
(iv) Decreasing the kernel size","Solution: (i), (ii)",ML/DL,CSE251B midterm2,Multiple Choice
"Consider a simplified scenario of the Monte-Carlo Tree Search w.r.t AlphaGo. Suppose you are at a certain state and you have 2 possible actions to take. You have explored the first action once but not the second one. You now choose among the same 2 actions for that same state using Q-value + Upper Confidence Bound. Assume that the Q-values are same for both the actions for that state. Which of the following are true?
(i) Your still choose the first action and explore the same path.
(ii) Since Q-values are the same, you toss a coin and randomly choose b/w the two actions.
(iii) You now choose the second action this time and explore that path
(iv) Since Q-values are the same, you don't explore any action further.",Solution: (iii),ML/DL,CSE251B midterm2,Multiple Choice
"Which of the following is true for Transformers?
(i) The encoder can process the data in parallel during training
(ii) The decoder can generate the sequence in parallel during testing
(iii) Positional encoding helps in encoding the positional information of the input tokens.
(iv) They easily overfit on a small dataset.","Solution: (i), (iii), (iv)",ML/DL,CSE251B midterm2,Multiple Choice
"What of the following is true for attention mechanisms?
(i) They use a Key to match a Value.
(ii) In transformers, all of the matrices for one attention head are shared across positions.
(iii) They include a softmax layer.
(iv) By default, they keep track of the relative position of inputs.","Solution: (ii), (iii)",ML/DL,CSE251B midterm2,Multiple Choice
"In lecture, we saw that the Atari game Montezuma's Revenge was a difficult game for traditional reinforcement learning to solve. Why was this?
(i) It is a real-time action game with many creature races to choose from, each with different behaviors.
(ii) It requires precise sequences of actions, such as finding a hidden key before progressing and receiving a reward.
(iii) Later successful systems needed to be modified to promote exploration. 
(iv) Later successful systems needed to be modified to promote exploitation.","Solution: (ii), (iii)",ML/DL,CSE251B midterm2,Multiple Choice
"In GANs:
(i) We freeze the parameters of the discriminator while updating the parameters of the generators.
(ii) We can think of the input vector as analogous to the bottleneck layer in an antoencoder. 
(iii) We backpropagate into the input vector to train a low-dimensional representation of the output.
(iv) The vector space of the random inputs that generate good outputs is very sparse and tends to lack structure.","Solution: (i), (ii)",ML/DL,CSE251B midterm2,Multiple Choice
"Which of the following techniques have learnable parameters?
(i) Batch normalization
(ii) Z-scoring
(iii) Dropout
(iv) Augmentation techniques",Solution: (i),ML/DL,CSE251B midterm2,Multiple Choice
"Which of the following techniques can be used to deal with a skewed dataset?
(i) Batch-normalization
(ii) Weighted loss techniques
(iii) Data Augmentation techniques
(iv) Increasing the embedding dimension size.","Solution: (ii), (iii)",ML/DL,CSE251B midterm2,Multiple Choice
,,,,
